ID,NUM_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_CALLE,Calle,Cruce,Direccion,COMUNA,Pos_X,Pos_Y,VICTIMA,ACUSADO,Dia_Sem,Barrios,Rol,Sexo,Edad,Fecha_Fallec,Rango_Etario
2016-0104,1,2016-08-14,2016,8,14,21,AVENIDA,ZINNY,CRUCE,ZINNY y SANTIAGO DE COMPOSTELA AV.,Comuna 9,-58.46635001,-34.65624369,MOTO,PASAJEROS,Dom,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,21,2016-08-15, Entre 21- 40
2016-0105,1,2016-08-17,2016,8,17,0,AVENIDA,"LACROZE, FEDERICO AV.",CRUCE,"LACROZE, FEDERICO AV. y FRAGA",Comuna 15,-58.45343236,-34.58435809,PEATON,PASAJEROS,Mié,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,MASCULINO,19,2016-08-26,Menos de 20
2016-0106,1,2016-08-19,2016,8,19,21,AVENIDA,"PELLEGRINI, CARLOS",CRUCE,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",Comuna 1,-58.38090932,-34.58927731,PEATON,PASAJEROS,Vie,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,38,, Entre 21- 40
2016-0107,1,2016-08-20,2016,8,20,8,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO es cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,Comuna 4,-58.37157668,-34.65429986,MOTO,AUTO,Sáb,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,MASCULINO,21,, Entre 21- 40
2016-0109,1,2016-08-24,2016,8,24,5,AUTOPISTA,AUTOPISTA PERITO MORENO,CRUCE,AUTOPISTA PERITO MORENO y BARRAGAN,Comuna 9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,Mié,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,FEMENINO,53,2016-08-24,Entre 41-60
2016-0110,1,2016-08-24,2016,8,24,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CRUCE,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",Comuna 9,-58.51232237,-34.6590353,PEATON,SD,Mié,"Liniers, Mataderos y Parque Avellaneda",PEATON,MASCULINO,57,,Entre 41-60
2016-0111,1,2016-08-25,2016,8,25,9,AUTOPISTA,"LUGONES, LEOPOLDO AV.",CRUCE,LUGONES y LA PAMPA,Comuna 15,-58.47461905,-34.57663634,MOTO,CARGAS,Jue,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",CONDUCTOR,MASCULINO,27,2016-08-25, Entre 21- 40
2016-0112,1,2016-08-27,2016,8,27,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,CRUCE,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Comuna 1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,Sáb,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,24,2016-08-27, Entre 21- 40
2016-0113,1,2016-08-27,2016,8,27,16,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CRUCE,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",Comuna 9,-58.49603546,-34.64564271,PEATON,PASAJEROS,Sáb,"Liniers, Mataderos y Parque Avellaneda",PEATON,FEMENINO,60,,Entre 61-80
2016-0114,1,2016-08-31,2016,8,31,11,CALLE,"SALGUERO, JERONIMO",NO es cruce,"SALGUERO, JERONIMO 1410",Comuna 14,-58.41848605,-34.59394733,BICICLETA,CARGAS,Mié,Palermo,CICLISTA,FEMENINO,55,2016-08-31,Entre 41-60
2016-0115,1,2016-09-02,2016,9,2,11,CALLE,ARIAS,CRUCE,ARIAS y TRONADOR,Comuna 12,-58.48935041,-34.54917673,SD,CARGAS,Vie,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",SD,MASCULINO,0,,Menos de 20
2016-0116,1,2016-09-02,2016,9,2,20,AVENIDA,27 DE FEBRERO AV.,CRUCE,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,-58.44451316,-34.68475866,MOTO,AUTO,Vie,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,30,2016-09-02, Entre 21- 40
2016-0117,1,2016-09-03,2016,9,3,15,AVENIDA,DEL LIBERTADOR AV.,CRUCE,DEL LIBERTADOR AV. y TAGLE,Comuna 14,-58.39936478,-34.58271474,AUTO,AUTO,Sáb,Palermo,CONDUCTOR,MASCULINO,43,,Entre 41-60
2016-0118,1,2016-09-04,2016,9,4,3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO es cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,Comuna 1,-58.37936704,-34.62694503,AUTO,AUTO,Dom,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,27,2016-09-04, Entre 21- 40
2016-0119,1,2016-09-04,2016,9,4,6,AVENIDA,"LARRALDE, CRISOLOGO AV.",CRUCE,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",Comuna 12,-58.49659234,-34.56353635,SD,SD,Dom,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PASAJERO_ACOMPAÑANTE,FEMENINO,0,,Menos de 20
2016-0122,1,2016-09-13,2016,9,13,7,AVENIDA,"PERON, EVA AV.",NO es cruce,"PERON, EVA AV. 4233",Comuna 9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,Mar,"Liniers, Mataderos y Parque Avellaneda",CICLISTA,MASCULINO,49,2016-09-13,Entre 41-60
2016-0123,1,2016-09-14,2016,9,14,9,AVENIDA,ASAMBLEA AV.,CRUCE,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",Comuna 7,-58.45130953,-34.64053676,MOTO,AUTO,Mié,Flores y Parque Chacabuco,CONDUCTOR,FEMENINO,58,,Entre 41-60
2016-0124,1,2016-09-16,2016,9,16,15,AVENIDA,RIVADAVIA AV.,CRUCE,RIVADAVIA AV. y RIVERA INDARTE AV.,Comuna 7,-58.46271207,-34.62884871,PEATON,PASAJEROS,Vie,Flores y Parque Chacabuco,PEATON,MASCULINO,67,,Entre 61-80
2016-0125,1,2016-09-17,2016,9,17,12,AUTOPISTA,AUTOPISTA PERITO MORENO,CRUCE,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",Comuna 10,-58.49020869,-34.64243791,MOTO,MOTO,Sáb,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",CONDUCTOR,MASCULINO,30,, Entre 21- 40
2016-0126,2,2016-09-18,2016,9,18,22,CALLE,IRIGOYEN,CRUCE,IRIGOYEN y TINOGASTA,Comuna 10,-58.52572109,-34.62125906,AUTO,CARGAS,Dom,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",CONDUCTOR,MASCULINO,37,, Entre 21- 40
2016-0126,2,2016-09-18,2016,9,18,22,CALLE,IRIGOYEN,CRUCE,IRIGOYEN y TINOGASTA,Comuna 10,-58.52572109,-34.62125906,AUTO,CARGAS,Dom,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",PASAJERO_ACOMPAÑANTE,MASCULINO,60,,Entre 61-80
2016-0127,1,2016-09-24,2016,9,24,10,AVENIDA,"ACOSTA, MARIANO AV.",CRUCE,"ACOSTA, MARIANO y ROCA, CNEL. AV.",Comuna 8,-58.44094791,-34.66677111,PEATON,PASAJEROS,Sáb,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,MASCULINO,50,,Entre 41-60
2016-0128,1,2016-10-02,2016,10,2,11,CALLE,CASTRO,CRUCE,CASTRO y PAVON AV.,Comuna 5,-58.41914024,-34.6305389,PEATON,PASAJEROS,Dom,Almagro y Boedo,PEATON,FEMENINO,81,2016-10-02,Más de 80
2016-0130,1,2016-10-04,2016,10,4,12,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO es cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,Comuna 1,-58.37910942,-34.62764717,MOTO,CARGAS,Mar,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,29,2016-10-04, Entre 21- 40
2016-0131,1,2016-10-09,2016,10,9,19,CALLE,MIRAVE,NO es cruce,MIRAVE 3500,Comuna 4,-58.39871183,-34.64539318,PEATON,AUTO,Dom,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,MASCULINO,35,, Entre 21- 40
2016-0132,1,2016-10-10,2016,10,10,2,AVENIDA,SAN JUAN AV.,CRUCE,SAN JUAN AV. y 24 DE NOVIEMBRE,Comuna 3,-58.41036975,-34.62477021,AUTO,PASAJEROS,Lun,Balvanera y San Cristóbal,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2016-10-10, Entre 21- 40
2016-0133,1,2016-10-14,2016,10,14,0,AVENIDA,LAS HERAS GENERAL AV.,CRUCE,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,Comuna 14,-58.40204698,-34.5834269,MOTO,AUTO,Vie,Palermo,CONDUCTOR,MASCULINO,41,2016-10-25,Entre 41-60
2016-0134,1,2016-10-23,2016,10,23,5,AVENIDA,PIEDRA BUENA AV.,CRUCE,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,Comuna 8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,25,2016-10-23, Entre 21- 40
2016-0135,1,2016-10-24,2016,10,24,5,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",CRUCE,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",Comuna 14,-58.42260225,-34.56403694,PEATON,SD,Lun,Palermo,PEATON,MASCULINO,29,2016-10-25, Entre 21- 40
2016-0136,1,2016-10-25,2016,10,25,0,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,NO es cruce,AU BUENOS AIRES - LA PLATA KM. 4,Comuna 4,,,MOTO,CARGAS,Mar,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,SD,0,,Menos de 20
2016-0137,1,2016-10-25,2016,10,25,0,AVENIDA,SAN MARTIN AV.,CRUCE,SAN MARTIN AV. y LADINES,Comuna 11,-58.51537091,-34.59035925,MOTO,MOTO,Mar,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,30,, Entre 21- 40
2016-0138,1,2016-10-27,2016,10,27,20,AVENIDA,CABILDO AV.,CRUCE,CABILDO AV. y BLANCO ENCALADA,Comuna 13,-58.4590967,-34.55922742,BICICLETA,CARGAS,Jue,"Núñez, Belgrano y Colegiales",CICLISTA,FEMENINO,33,, Entre 21- 40
2016-0139,1,2016-10-28,2016,10,28,23,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",CRUCE,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",Comuna 14,-58.42008769,-34.56539579,MOTO,MOTO,Vie,Palermo,PASAJERO_ACOMPAÑANTE,FEMENINO,35,, Entre 21- 40
2016-0140,1,2016-10-31,2016,10,31,2,AVENIDA,JURAMENTO AV.,CRUCE,JURAMENTO AV. y VUELTA DE OBLIGADO,Comuna 13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,Lun,"Núñez, Belgrano y Colegiales",PASAJERO_ACOMPAÑANTE,MASCULINO,20,, Entre 21- 40
2016-0142,1,2016-11-05,2016,11,5,23,AVENIDA,DEL LIBERTADOR AV.,CRUCE,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",Comuna 1,-58.37533517,-34.59276462,MOTO,PASAJEROS,Sáb,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,46,2016-11-05,Entre 41-60
2016-0143,1,2016-11-06,2016,11,6,4,AVENIDA,27 DE FEBRERO AV.,CRUCE,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,-58.44451316,-34.68475866,MOTO,SD,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,35,, Entre 21- 40
2016-0144,1,2016-11-07,2016,11,7,12,AVENIDA,"BROWN, ALTE. AV.",NO es cruce,"BROWN, ALTE. AV. 984",Comuna 4,-58.35975012,-34.63343907,PEATON,PASAJEROS,Lun,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,MASCULINO,83,,Más de 80
2016-0145,1,2016-11-07,2016,11,7,20,AVENIDA,DEL LIBERTADOR AV.,CRUCE,DEL LIBERTADOR AV. y LA PAMPA,Comuna 13,-58.44523595,-34.55953855,MOTO,AUTO,Lun,"Núñez, Belgrano y Colegiales",CONDUCTOR,MASCULINO,39,2016-11-07, Entre 21- 40
2016-0146,1,2016-11-09,2016,11,9,20,AVENIDA,PICHINCHA AV.,CRUCE,PICHINCHA AV. y BRASIL,Comuna 4,-58.39626094,-34.63036565,PEATON,PASAJEROS,Mié,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,FEMENINO,29,, Entre 21- 40
2016-0147,1,2016-11-16,2016,11,16,21,AVENIDA,INDEPENDENCIA AV.,CRUCE,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",Comuna 1,-58.38896772,-34.61799615,MOVIL,PASAJEROS,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PASAJERO_ACOMPAÑANTE,MASCULINO,55,2016-11-16,Entre 41-60
2016-0148,1,2016-11-16,2016,11,16,22,AVENIDA,GARMENDIA AV.,NO es cruce,GARMENDIA AV. 4895,Comuna 15,-58.46536113,-34.59484504,MOTO,MOTO,Mié,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",CONDUCTOR,MASCULINO,0,,Menos de 20
2016-0150,1,2016-11-18,2016,11,18,18,AVENIDA,"ALCORTA, AMANCIO AV.",CRUCE,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",Comuna 4,-58.40879146,-34.65273216,CARGAS,CARGAS,Vie,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-11-18,Entre 41-60
2016-0152,1,2016-11-23,2016,11,23,21,AVENIDA,"MORENO, PERITO AV.",CRUCE,"MORENO, PERITO AV. y ZUVIRIA",Comuna 7,-58.46451841,-34.64991946,MOTO,AUTO,Mié,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,42,2016-11-24,Entre 41-60
2016-0153,1,2016-11-25,2016,11,25,15,AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",CRUCE,ARAOZ y CORDOBA AV.,Comuna 15,-58.4291709,-34.59485488,PEATON,MOTO,Vie,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,FEMENINO,83,2016-11-25,Más de 80
2016-0154,1,2016-11-26,2016,11,26,14,AUTOPISTA,"PAZ, GRAL. AV.",NO es cruce,"PAZ, GRAL. AV. 15200",Comuna 8,-58.49007772,-34.68251141,MOTO,MOTO,Sáb,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,38,, Entre 21- 40
2016-0155,1,2016-11-26,2016,11,26,16,CALLE,MADERO,NO es cruce,MADERO 900,Comuna 10,-58.52756365,-34.62772274,PEATON,AUTO,Sáb,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",PEATON,FEMENINO,29,, Entre 21- 40
2016-0156,1,2016-11-26,2016,11,26,19,AVENIDA,INDEPENDENCIA AV.,CRUCE,INDEPENDENCIA AV. y DEAN FUNES,Comuna 3,-58.40638983,-34.61943202,MOTO,PASAJEROS,Sáb,Balvanera y San Cristóbal,CONDUCTOR,MASCULINO,23,2016-11-30, Entre 21- 40
2016-0157,1,2016-12-03,2016,12,3,6,AVENIDA,"JUSTO, JUAN B. AV.",NO es cruce,"JUSTO, JUAN B. AV. 5645",Comuna 11,-58.47576807,-34.61740997,MOTO,MOTO,Sáb,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,23,, Entre 21- 40
2016-0159,1,2016-12-04,2016,12,4,7,AVENIDA,27 DE FEBRERO AV.,CRUCE,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,-58.44451316,-34.68475866,AUTO,SD,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,23,, Entre 21- 40
2016-0160,1,2016-12-06,2016,12,6,5,AUTOPISTA,AUTOPISTA PERITO MORENO,NO es cruce,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),Comuna 9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,Mar,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,29,2016-12-06, Entre 21- 40
2016-0161,1,2016-12-06,2016,12,6,7,AVENIDA,SANTA FE AV.,CRUCE,SANTA FE AV. y GODOY CRUZ,Comuna 14,-58.42525456,-34.57866344,PEATON,PASAJEROS,Mar,Palermo,PEATON,MASCULINO,50,2016-12-06,Entre 41-60
2016-0162,1,2016-12-07,2016,12,7,5,AVENIDA,"LACROZE, FEDERICO AV.",CRUCE,"LACROZE, FEDERICO AV. y FOREST AV.",Comuna 15,-58.45396573,-34.58518167,PEATON,AUTO,Mié,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,MASCULINO,38,2017-01-01, Entre 21- 40
2016-0163,1,2016-12-10,2016,12,10,7,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",Comuna 11,-58.52340614,-34.59798754,MOTO,AUTO,Sáb,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,23,, Entre 21- 40
2016-0164,1,2016-12-11,2016,12,11,6,AVENIDA,LA PLATA AV.,CRUCE,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",Comuna 4,-58.42323628,-34.64119105,AUTO,AUTO,Dom,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,MASCULINO,29,, Entre 21- 40
2016-0165,1,2016-12-12,2016,12,12,8,AVENIDA,"GARCIA, MARTIN AV.",NO es cruce,"GARCIA, MARTIN AV. 300",Comuna 4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,Lun,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CICLISTA,MASCULINO,37,, Entre 21- 40
2016-0168,1,2016-12-13,2016,12,13,10,AVENIDA,LA PLATA AV.,CRUCE,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",Comuna 4,-58.42323628,-34.64119105,MOTO,AUTO,Mar,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,MASCULINO,43,2016-12-13,Entre 41-60
2016-0169,1,2016-12-15,2016,12,15,15,AVENIDA,NUÑEZ,CRUCE,"NUÑEZ y BALBIN, RICARDO, DR. AV.",Comuna 12,-58.47935434,-34.55676497,MOTO,PASAJEROS,Jue,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",CONDUCTOR,MASCULINO,24,2016-12-16, Entre 21- 40
2016-0170,1,2016-12-19,2016,12,19,17,AUTOPISTA,"PAZ, GRAL. AV.",NO es cruce,"PAZ, GRAL. AV. 4500",Comuna 12,-58.50598256,-34.5637998,MOTO,AUTO,Lun,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PASAJERO_ACOMPAÑANTE,MASCULINO,21,2016-12-19, Entre 21- 40
2016-0171,1,2016-12-25,2016,12,25,19,AUTOPISTA,"HUERGO, ING. AV.",CRUCE,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",Comuna 1,-58.36607137,-34.62150748,MOTO,MOTO,Dom,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,SD,0,,Menos de 20
2016-0172,1,2016-12-26,2016,12,26,8,AVENIDA,"GARAY, JUAN DE AV.",CRUCE,"GARAY, JUAN DE AV. y CASTRO",Comuna 5,-58.41918902,-34.63174259,MOTO,CARGAS,Lun,Almagro y Boedo,CONDUCTOR,MASCULINO,38,2016-12-26, Entre 21- 40
2016-0173,1,2016-12-26,2016,12,26,19,AVENIDA,DIRECTORIO AV.,CRUCE,DIRECTORIO AV. y SAN PEDRITO AV.,Comuna 7,-58.46749188,-34.63551751,MOTO,CARGAS,Lun,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,35,, Entre 21- 40
2016-0175,1,2016-12-27,2016,12,27,8,CALLE,"FALCON, RAMON L.,CNEL.",CRUCE,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",Comuna 7,-58.46064174,-34.62960517,PEATON,BICICLETA,Mar,Flores y Parque Chacabuco,PEATON,FEMENINO,0,,Menos de 20
2016-0176,1,2016-12-28,2016,12,28,1,AVENIDA,BELGRANO AV.,CRUCE,BELGRANO AV. y PASEO COLON AV.,Comuna 1,-58.36956186,-34.61232875,MOTO,PASAJEROS,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,28,, Entre 21- 40
2016-0177,1,2016-12-29,2016,12,29,4,CALLE,ARENALES,NO es cruce,ARENALES 3319,Comuna 14,-58.40966671,-34.58788235,PEATON,AUTO,Jue,Palermo,PEATON,FEMENINO,27,, Entre 21- 40
2016-0178,1,2016-12-30,2016,12,30,16,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,CRUCE,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,Comuna 3,-58.40288226,-34.61544091,PEATON,MULTIPLE,Vie,Balvanera y San Cristóbal,PEATON,FEMENINO,7,,Menos de 20
2017-0001,1,2017-01-02,2017,1,2,1,AVENIDA,"JUSTO, JUAN B. AV.",CRUCE,"JUSTO, JUAN B. AV. y ACHUPALLAS",Comuna 11,-58.4659423,-34.61028571,MOTO,CARGAS,Lun,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,18,2017-01-02,Menos de 20
2017-0003,1,2017-01-05,2017,1,5,3,AVENIDA,OLAVARRIA,CRUCE,OLAVARRIA y VELEZ SARSFIELD AV.,Comuna 4,-58.38957669,-34.64410277,CARGAS,CARGAS,Jue,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PASAJERO_ACOMPAÑANTE,MASCULINO,33,2017-01-05, Entre 21- 40
2017-0007,1,2017-01-11,2017,1,11,17,CALLE,LIMA,CRUCE,LIMA y MEXICO,Comuna 1,-58.3816166,-34.61529543,PEATON,MULTIPLE,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,48,2017-01-11,Entre 41-60
2017-0008,1,2017-01-16,2017,1,16,0,CALLE,"CABRERA, JOSE A.",CRUCE,"CABRERA, JOSE A. y BONPLAND",Comuna 14,-58.43917004,-34.58494351,MOTO,PASAJEROS,Lun,Palermo,CONDUCTOR,MASCULINO,29,2017-01-16, Entre 21- 40
2017-0009,1,2017-01-16,2017,1,16,13,AUTOPISTA,AUTOPISTA 25 DE MAYO,NO es cruce,AUTOPISTA 25 DE MAYO y BOEDO AV.,Comuna 5,-58.41595919,-34.62743346,MOTO,CARGAS,Lun,Almagro y Boedo,CONDUCTOR,MASCULINO,36,2017-01-16, Entre 21- 40
2017-0010,1,2017-01-16,2017,1,16,16,AVENIDA,DIRECTORIO AV.,CRUCE,DIRECTORIO AV. y RIGLOS,Comuna 6,-58.4356488,-34.62828656,MOTO,AUTO,Lun,Caballito,CONDUCTOR,MASCULINO,23,2017-01-16, Entre 21- 40
2017-0011,1,2017-01-22,2017,1,22,2,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",Comuna 12,-58.5007381,-34.5497951,MOTO,OBJETO FIJO,Dom,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PASAJERO_ACOMPAÑANTE,FEMENINO,29,2017-01-22, Entre 21- 40
2017-0012,1,2017-01-24,2017,1,24,14,CALLE,TRAFUL,CRUCE,"TRAFUL y TABORDA, DIOGENES",Comuna 4,-58.40969005,-34.6505529,MOTO,CARGAS,Mar,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,MASCULINO,30,2017-01-24, Entre 21- 40
2017-0013,1,2017-01-27,2017,1,27,7,AVENIDA,"IRIARTE, GRAL. AV.",NO es cruce,"IRIARTE, GRAL. AV. 3055",Comuna 4,-58.38972622,-34.65098981,PEATON,CARGAS,Vie,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,MASCULINO,4,2017-01-27,Menos de 20
2017-0014,1,2017-01-28,2017,1,28,8,AVENIDA,DONADO,CRUCE,DONADO y ARIAS,Comuna 12,-58.49185972,-34.55046754,MOTO,MULTIPLE,Sáb,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PASAJERO_ACOMPAÑANTE,FEMENINO,22,2017-01-28, Entre 21- 40
2017-0015,1,2017-02-02,2017,2,2,15,AVENIDA,CORDOBA AV.,CRUCE,CORDOBA AV. y CALLAO AV.,Comuna 2,-58.39293417,-34.59963642,PEATON,AUTO,Jue,Recoleta,PEATON,MASCULINO,82,2017-02-21,Más de 80
2017-0016,1,2017-02-03,2017,2,3,5,AUTOPISTA,AUTOPISTA 25 DE MAYO,NO es cruce,AUTOPISTA 25 DE MAYO KM. 8.3,Comuna 1,-58.38099494,-34.62288231,MOTO,CARGAS,Vie,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,27,2017-02-04, Entre 21- 40
2017-0017,1,2017-02-06,2017,2,6,8,AVENIDA,"JUSTO, JUAN B. AV.",CRUCE,"JUSTO, JUAN B. AV. y PARAGUAY",Comuna 14,-58.429012,-34.58095431,MOTO,AUTO,Lun,Palermo,CONDUCTOR,MASCULINO,32,2017-02-06, Entre 21- 40
2017-0018,1,2017-02-09,2017,2,9,7,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,-58.50877521,-34.66977709,MOTO,AUTO,Jue,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,30,2017-02-09, Entre 21- 40
2017-0021,1,2017-02-18,2017,2,18,5,CALLE,SARMIENTO,CRUCE,SARMIENTO y LIBERTAD,Comuna 1,-58.38362373,-34.60509972,MOTO,PASAJEROS,Sáb,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,43,2017-02-18,Entre 41-60
2017-0024,1,2017-02-23,2017,2,23,20,AVENIDA,RIVADAVIA AV.,NO es cruce,RIVADAVIA AV. 7121,Comuna 7,-58.46589308,-34.62955795,PEATON,PASAJEROS,Jue,Flores y Parque Chacabuco,PEATON,MASCULINO,39,2017-02-23, Entre 21- 40
